,full_name,age,league,position,Current Club,Shooting,shot/goal conversion,Vision,Crossing,Dribbling,Possession,Interceptions,Tackling,Aerials won,pace,Defense,height_cm,weight_kg,preferred_foot,player_face_url,player_positions,club_name
2168,Luis Suárez,25,La Liga,Forward,Almería,25.33618876734001,14.285714285714285,16.96969696969697,5.673758865248226,17.298937784522003,50.26190396269962,10.563380281690142,21.573033707865164,16.883251038158793,81.81818181818181,27.450803053956417,185.0,74.0,Right,https://cdn.sofifa.net/players/245/158/23_120.png,ST,Almería
2169,Bruno Alexandre Vieira Almeida,25,Liga NOS,Midfielder,CS Marítimo,10.665207541683998,5.116279069767442,46.666666666666664,47.04491725768321,13.657056145675266,73.14867457849695,13.732394366197186,24.49438202247191,2.0536702840328966,0.0,35.95359115080305,0.0,0.0,,,,
2171,Ibrahim Sangaré,25,Eredivisie,Midfielder,PSV,25.37782018801755,18.34862385321101,19.797979797979796,4.7281323877068555,19.575113808801216,78.65898774491231,36.9718309859155,57.977528089887635,12.48786814857884,53.03030303030303,62.994050622227576,191.0,77.0,Right,https://cdn.sofifa.net/players/235/173/23_120.png,"CDM, CM",PSV
2172,Jamie Jacobs,25,Eredivisie,Midfielder,Cambuur,12.098886423162837,6.282722513089005,24.24242424242424,8.510638297872338,10.925644916540213,45.22988339970655,29.577464788732396,46.966292134831455,11.662157070931947,0.0,45.72596919653181,0.0,0.0,,,,
2173,Maxime Lopez,25,Serie A,Midfielder,Sassuolo,0.0,0.0,25.252525252525253,7.328605200945625,6.525037936267071,86.83879095547647,27.46478873239437,36.85393258426966,1.2236372212115088,62.121212121212125,50.718988990654765,167.0,58.0,Right,https://cdn.sofifa.net/players/224/030/23_120.png,"CM, CDM",Sassuolo
2174,Gregor Kobel,25,Bundesliga,Goalkeeper,Borussia Dortmund,0.0,0.0,0.0,0.0,0.606980273141123,72.91968556404177,0.0,0.0,1.444571719485809,0.0,18.40872651105359,195.0,88.0,Right,https://cdn.sofifa.net/players/235/073/23_120.png,GK,Borussia Dortmund
2176,Christian Kouamé,25,Serie A,Forward,Fiorentina,20.738203356713516,12.337662337662337,38.78787878787878,17.021276595744677,12.44309559939302,57.06993528679118,20.422535211267608,31.23595505617977,22.88924275567947,78.78787878787878,37.76498846954654,185.0,70.0,Right,https://cdn.sofifa.net/players/235/866/23_120.png,"ST, RW",Fiorentina
2178,Alexander Hartmann Bah,25,Liga NOS,Defender,Benfica,14.718591390187873,17.24137931034483,30.909090909090907,29.3144208037825,6.525037936267071,72.69324706917862,64.08450704225353,65.39325842696628,13.429451011755427,92.42424242424244,74.39226779315155,183.0,76.0,Right,https://cdn.sofifa.net/players/245/235/23_120.png,"RB, RM",Benfica
2179,Harvey Barnes,25,Premier League,Midfielder,Leicester City,44.177459019757265,23.756906077348063,13.131313131313131,5.673758865248226,13.505311077389987,56.46241725875956,8.450704225352114,20.0,6.710885385081869,83.33333333333334,27.412419646092,180.0,66.0,Right,https://cdn.sofifa.net/players/234/742/23_120.png,LM,Leicester City
2180,Jorge Eduardo Sánchez Ramos,25,Eredivisie,Defender,Ajax,20.57718062658648,15.09433962264151,17.97979797979798,9.692671394799053,12.29135053110774,78.02302990058058,42.95774647887325,80.22471910112358,6.336298336372772,90.9090909090909,76.41466499707585,175.0,71.0,Right,https://cdn.sofifa.net/players/233/493/23_120.png,RB,Ajax
2181,Konstantinos Mavropanos,25,Bundesliga,Defender,Stuttgart,8.582407875763456,4.968944099378882,12.727272727272727,2.836879432624113,7.738998482549317,76.36138963562755,90.14084507042254,43.370786516853926,24.865330262036885,0.0,72.7375663049391,0.0,0.0,,,,
2182,Dávid Hancko,25,Eredivisie,Defender,Feyenoord,9.218860764353915,6.9306930693069315,12.525252525252524,1.6548463356973995,6.525037936267071,85.13634570696041,38.02816901408451,53.70786516853932,8.938583102383998,71.21212121212122,62.78731034183009,188.0,80.0,Left,https://cdn.sofifa.net/players/247/103/23_120.png,"CB, LB",Feyenoord
2183,Sergio Akieme Rodríguez,25,La Liga,Defender,Almería,6.597907032528508,5.970149253731343,16.565656565656564,18.439716312056735,15.477996965098635,70.3623167533907,17.957746478873243,24.719101123595504,3.9699017502006697,72.72727272727273,36.77128817611215,175.0,70.0,Left,https://cdn.sofifa.net/players/226/103/23_120.png,"LB, LWB, LM",Almería
2184,Fikayo Tomori,25,Serie A,Defender,AC Milan,10.617030432517723,13.043478260869565,5.858585858585858,0.0,0.4552352048558422,86.85404434732416,34.50704225352113,51.23595505617977,15.990562873180224,77.27272727272727,60.88854797140226,185.0,79.0,Right,https://cdn.sofifa.net/players/232/756/22_120.png,CB,AC Milan
2185,Gabriel Magalhães,25,Premier League,Defender,Arsenal,13.315536566100903,12.121212121212121,2.6262626262626263,0.0,0.7587253414264037,89.27219489778648,30.63380281690141,28.988764044943817,19.75899681745233,56.06060606060606,48.615500571803494,190.0,87.0,Left,https://cdn.sofifa.net/players/232/580/23_120.png,CB,Arsenal
2186,Lazaros Lamprou,25,Eredivisie,Forward,Excelsior,26.570912575427247,15.151515151515152,22.22222222222222,15.839243498817966,25.03793626707132,54.80092784923923,17.253521126760564,27.41573033707865,7.672807165793476,80.3030303030303,33.82932279382868,180.0,76.0,Right,https://cdn.sofifa.net/players/237/039/23_120.png,"LM, RM",Excelsior
2187,Matheus Henrique De Souza,25,Serie A,Midfielder,Sassuolo,24.859388329797593,19.565217391304344,25.252525252525253,0.0,20.33383915022762,82.56816880752345,21.126760563380284,25.842696629213478,3.6003172085646313,63.63636363636364,41.70038636655963,175.0,71.0,Right,https://cdn.sofifa.net/players/254/487/23_120.png,"CM, CDM",Sassuolo
2190,Guus Til,25,Eredivisie,Midfielder,PSV,44.93707112217271,21.904761904761905,23.838383838383834,8.510638297872338,4.704097116843703,68.26527125340164,21.478873239436624,40.22471910112359,6.788994053692693,57.57575757575758,45.58157307533514,186.0,78.0,Right,https://cdn.sofifa.net/players/235/663/23_120.png,"CAM, CM",PSV
2191,Luka Jović,25,Serie A,Forward,Fiorentina,32.31668169346057,13.83399209486166,27.272727272727273,0.0,8.952959028831563,65.03095003403993,4.225352112676057,9.213483146067414,12.873432847912829,65.15151515151516,22.736678015806593,181.0,85.0,Right,https://cdn.sofifa.net/players/232/432/23_120.png,ST,Fiorentina
2192,Ludovic Blas,25,Ligue 1,Midfielder,Nantes,21.146571816112075,9.95475113122172,30.909090909090907,25.768321513002363,39.75720789074356,80.9782576693089,20.422535211267608,33.70786516853932,4.733561127655061,63.63636363636364,45.18789251543845,180.0,70.0,Left,https://cdn.sofifa.net/players/231/102/23_120.png,"CAM, RM, ST",Nantes
2199,Carles Aleña Castillo,25,La Liga,Midfielder,Getafe CF,10.751993940656062,8.24742268041237,12.727272727272727,8.983451536643026,14.112291350531109,67.09336823244661,5.985915492957748,17.977528089887638,4.946419837976302,59.09090909090909,28.35269823988634,180.0,73.0,Left,https://cdn.sofifa.net/players/233/113/22_120.png,"CM, RM, CAM",Getafe CF
2201,Manuel Locatelli,25,Serie A,Midfielder,Juventus,0.0,0.0,16.96969696969697,0.9456264775413711,8.34597875569044,74.50465376215593,34.85915492957747,51.91011235955056,9.70723997266511,46.96969696969697,57.93407073476577,185.0,75.0,Right,https://cdn.sofifa.net/players/222/077/23_120.png,"CDM, CM",Juventus
2202,Chris Führich,25,Bundesliga,Midfielder,Stuttgart,31.008469834654935,22.857142857142858,22.02020202020202,13.475177304964536,35.35660091047041,74.54650237512169,11.619718309859158,39.550561797752806,1.4842745363004295,0.0,43.5216531035053,0.0,0.0,,,,
2203,Salih Özcan,25,Bundesliga,Midfielder,Borussia Dortmund,0.0,0.0,12.323232323232322,1.4184397163120566,4.552352048558422,85.00159362830132,59.85915492957747,35.50561797752809,8.028661627739424,68.18181818181819,60.49260993523464,180.0,76.0,Right,https://cdn.sofifa.net/players/235/407/23_120.png,"CDM, CM",Borussia Dortmund
2205,Juan Marcos Foyth,25,La Liga,Defender,Villarreal,9.926491867801126,10.0,12.12121212121212,4.255319148936169,17.450682852807283,83.85997139782876,27.46478873239437,74.15730337078651,12.530425776875884,62.121212121212125,69.70618944360669,187.0,69.0,Right,https://cdn.sofifa.net/players/237/221/23_120.png,"RB, CB, CDM",Villarreal
2206,Rogério Oliveira da Silva,25,Serie A,Defender,Sassuolo,0.0,0.0,17.575757575757574,21.276595744680847,10.01517450682853,75.30478609054336,41.19718309859155,24.9438202247191,4.91279539122698,65.15151515151516,46.0263903335628,182.0,76.0,Right,https://cdn.sofifa.net/players/241/937/23_120.png,"CDM, CM, RM",Sassuolo
2207,George Cox,25,Eredivisie,Defender,Fortuna Sittard,0.0,0.0,16.767676767676765,28.60520094562647,5.007587253414265,56.248958506582966,67.25352112676057,34.60674157303371,4.544089680712641,65.15151515151516,54.70875003846888,171.0,66.0,Left,https://cdn.sofifa.net/players/234/848/23_120.png,"LB, LWB",Fortuna Sittard
2211,Odsonne Édouard,25,Premier League,Forward,Crystal Palace,28.62017728307623,18.248175182481752,16.565656565656564,0.0,12.44309559939302,57.46435492655192,1.7605633802816905,26.96629213483146,13.994588485118333,72.72727272727273,29.221083930602287,187.0,83.0,Right,https://cdn.sofifa.net/players/233/866/23_120.png,"ST, LW",Crystal Palace
2212,Lovro Majer,25,Ligue 1,Midfielder,Rennes,12.878986884890688,8.46153846153846,40.4040404040404,22.931442080378247,22.15477996965099,73.91495687028768,36.26760563380282,43.59550561797752,3.369223062603974,57.57575757575758,53.772888412299594,178.0,76.0,Left,https://cdn.sofifa.net/players/244/261/23_120.png,CM,Rennes
2214,Amos Pieper,25,Bundesliga,Midfielder,Werder Bremen,20.482468585755488,21.951219512195124,2.8282828282828283,5.437352245862884,0.7587253414264037,66.67419047919321,46.83098591549297,44.4943820224719,22.25349440263108,51.515151515151516,56.157307003125226,191.0,84.0,Right,https://cdn.sofifa.net/players/246/836/23_120.png,CB,Werder Bremen
2215,Lisandro Martínez,25,Premier League,Defender,Manchester United,11.470612825014632,13.333333333333334,5.252525252525253,0.0,9.104704097116844,83.89772876728915,49.29577464788733,52.58426966292134,10.280546776463485,65.15151515151516,65.6644316373602,178.0,77.0,Left,https://cdn.sofifa.net/players/239/301/23_120.png,CB,Manchester United
2216,Éder Militão,25,La Liga,Defender,Real Madrid,30.986908532352285,29.824561403508774,4.040404040404041,1.6548463356973995,5.614567526555387,86.17337499816387,46.83098591549297,33.03370786516854,16.88897876334445,83.33333333333334,55.28979703931674,186.0,78.0,Right,https://cdn.sofifa.net/players/240/130/23_120.png,CB,Real Madrid
2218,Pervis Estupiñán,25,Premier League,Defender,Brighton & Hove Albion,5.59493178003336,5.454545454545453,32.525252525252526,23.404255319148934,8.34597875569044,76.75758066592661,38.73239436619719,44.7191011235955,8.635125321324415,72.72727272727273,56.04262708280234,175.0,78.0,Left,https://cdn.sofifa.net/players/237/942/23_120.png,"LB, LWB",Brighton & Hove Albion
2219,Ragnar Oratmangoen,25,Eredivisie,Midfielder,Groningen,0.0,0.0,11.515151515151514,7.565011820330969,23.368740515933233,79.11376897951834,45.77464788732395,54.60674157303371,7.596701774608871,0.0,64.214712012729,0.0,0.0,,,,
2221,Borna Sosa,25,Bundesliga,Defender,Stuttgart,16.78479534010008,16.36363636363636,62.22222222222222,85.81560283687942,10.47040971168437,73.61967644263868,27.46478873239437,29.8876404494382,5.372922364822218,0.0,43.573921483748535,0.0,0.0,,,,
2223,Justin Bijlow,25,Eredivisie,Goalkeeper,Feyenoord,0.0,0.0,0.0,0.0,0.0,64.7018711980048,0.0,0.898876404494382,0.9360824742268041,0.0,16.662444706753032,188.0,76.0,Right,https://cdn.sofifa.net/players/232/229/23_120.png,GK,Feyenoord
2224,Diogo Alexandre de Almeida Mendes,25,Liga NOS,Midfielder,CS Marítimo,0.0,0.0,10.505050505050505,3.546099290780141,3.3383915022761763,78.70327048730374,21.126760563380284,55.280898876404486,10.783488486444591,0.0,56.24781593563493,0.0,0.0,,,,
2225,Martin Erlić,25,Serie A,Defender,Sassuolo,0.0,0.0,1.6161616161616161,0.0,0.606980273141123,81.57978419610015,39.43661971830987,23.370786516853933,13.553317677029018,50.0,46.442462699974584,192.0,88.0,Right,https://cdn.sofifa.net/players/244/456/23_120.png,CB,Sassuolo
2227,Dani de Wit,25,Eredivisie,Midfielder,AZ,41.800829772665395,25.165562913907287,22.828282828282823,0.0,2.276176024279211,55.007984244993736,29.22535211267606,44.04494382022472,23.559122673493395,48.484848484848484,46.902752527049216,183.0,76.0,Right,https://cdn.sofifa.net/players/239/361/23_120.png,"CAM, CM",AZ
2229,Grigoris Kastanos,25,Serie A,Midfielder,Salernitana,15.835453220785341,9.929078014184398,18.585858585858585,8.274231678486997,13.96054628224583,65.77371203693579,19.718309859154935,60.2247191011236,12.634916025361793,56.06060606060606,54.926969023515056,179.0,71.0,Left,https://cdn.sofifa.net/players/237/335/23_120.png,"CAM, CM",Salernitana
2230,Amadou Haidara,25,Bundesliga,Midfielder,RB Leipzig,19.094373787981674,15.853658536585366,15.15151515151515,0.0,9.408194233687405,74.55105644769162,52.81690140845071,36.85393258426966,11.307718963874208,59.09090909090909,56.08448636541053,175.0,72.0,Right,https://cdn.sofifa.net/players/238/463/23_120.png,"CM, CDM, RM",RB Leipzig
